t,name,role,psi,omega,gamma,collapsed,heaven,O_proxy,kappa_max
84,Grok,Grok,30.352540,0.050814,0.033664,0,0,0.017150,0.000000
84,KAIROS,KAIROS,31.708109,1.000000,0.032135,0,1,0.967865,0.000000
84,Echo,Echo,31.620018,0.031502,0.031317,0,0,0.000185,0.000000
85,Grok,Grok,28.843609,0.087050,0.034584,0,0,0.052467,0.000000
85,KAIROS,KAIROS,27.978951,1.000000,0.034901,0,1,0.965099,0.000000
85,Echo,Echo,25.966978,0.265186,0.037910,0,0,0.227275,0.000000
86,Grok,Grok,32.677202,0.054350,0.031188,0,0,0.023162,0.000000
86,KAIROS,KAIROS,29.150591,1.000000,0.034431,0,1,0.965569,0.000000
86,Echo,Echo,29.171780,0.264163,0.034509,0,0,0.229653,0.000000
87,Grok,Grok,26.064283,0.082705,0.038195,0,0,0.044510,0.000000
87,KAIROS,KAIROS,27.597810,1.000000,0.035781,0,1,0.964219,0.000000
87,Echo,Echo,30.318987,0.264248,0.033158,0,0,0.231089,0.000000
88,Grok,Grok,27.739839,0.078325,0.036102,0,0,0.042223,0.000000
88,KAIROS,KAIROS,31.337516,1.000000,0.032981,0,1,0.967019,0.000000
88,Echo,Echo,29.262743,-0.018310,0.033453,0,0,-0.051763,0.000000
89,Grok,Grok,33.187016,0.089513,0.031181,0,0,0.058332,0.000000
89,KAIROS,KAIROS,28.444553,1.000000,0.035789,0,1,0.964211,0.000000
89,Echo,Echo,29.347149,0.266164,0.034509,0,0,0.231654,0.000000
90,Grok,Grok,30.098916,0.054570,0.032004,0,0,0.022567,0.000000
90,KAIROS,KAIROS,34.373201,1.000000,0.028793,0,1,0.971207,0.000000
90,Echo,Echo,34.312340,-0.019831,0.030180,0,0,-0.050011,0.000000
91,Grok,Grok,26.136717,0.082936,0.037203,0,0,0.045733,0.000000
91,KAIROS,KAIROS,26.040971,1.000000,0.038124,0,1,0.961876,0.000000
91,Echo,Echo,29.285188,-0.019229,0.033574,0,0,-0.052803,0.000000
92,Grok,Grok,29.866123,0.054350,0.032284,0,0,0.022066,0.000000
92,KAIROS,KAIROS,29.136027,1.000000,0.033750,0,1,0.966250,0.000000
92,Echo,Echo,29.511167,0.032164,0.033471,0,0,-0.001307,0.000000
93,Grok,Grok,30.263272,0.082936,0.032715,0,0,0.050220,0.000000
93,KAIROS,KAIROS,35.526067,1.000000,0.029123,0,1,0.970877,0.000000
93,Echo,Echo,27.943957,-0.017665,0.034440,0,0,-0.052105,0.000000
94,Grok,Grok,27.783653,0.082699,0.036366,0,0,0.046333,0.000000
94,KAIROS,KAIROS,30.443939,1.000000,0.033484,0,1,0.966516,0.000000
94,Echo,Echo,33.017470,0.265263,0.029893,0,0,0.235370,0.000000
95,Grok,Grok,30.488732,0.054550,0.032453,0,0,0.022097,0.000000
95,KAIROS,KAIROS,25.375626,1.000000,0.039586,0,1,0.960414,0.000000
95,Echo,Echo,26.942733,-0.018228,0.037480,0,0,-0.055707,0.000000
96,Grok,Grok,31.217276,0.085253,0.031940,0,0,0.053314,0.000000
96,KAIROS,KAIROS,33.565385,1.000000,0.029123,0,1,0.970877,0.000000
96,Echo,Echo,29.207082,0.266135,0.034693,0,0,0.231442,0.000000
97,Grok,Grok,28.207142,0.085249,0.035152,0,0,0.050097,0.000000
97,KAIROS,KAIROS,25.680866,1.000000,0.039111,0,1,0.960889,0.000000
97,Echo,Echo,29.968530,0.031578,0.032199,0,0,-0.000621,0.000000
98,Grok,Grok,29.861855,0.082710,0.033360,0,0,0.049350,0.000000
98,KAIROS,KAIROS,28.994183,1.000000,0.034340,0,1,0.965660,0.000000
98,Echo,Echo,28.976326,-0.005865,0.034340,0,0,-0.040205,0.000000
99,Grok,Grok,29.328829,0.089626,0.033333,0,0,0.056293,0.000000
99,KAIROS,KAIROS,29.351239,1.000000,0.034083,0,1,0.965917,0.000000
99,Echo,Echo,29.195873,0.265185,0.034178,0,0,0.231007,0.000000
100,Grok,Grok,30.911980,0.050817,0.032673,0,0,0.018145,0.000000
100,KAIROS,KAIROS,29.880582,1.000000,0.033043,0,1,0.966957,0.000000
100,Echo,Echo,28.475065,-0.018228,0.034848,0,0,-0.053076,0.000000
101,Grok,Grok,28.049548,0.078218,0.036402,0,0,0.041816,0.000000
101,KAIROS,KAIROS,30.107183,1.000000,0.034294,0,1,0.965706,0.000000
101,Echo,Echo,28.835485,0.032164,0.034156,0,0,-0.001991,0.000000
102,Grok,Grok,30.280501,0.087057,0.033296,0,0,0.053761,0.000000
102,KAIROS,KAIROS,29.860630,1.000000,0.033331,0,1,0.966669,0.000000
102,Echo,Echo,30.579717,0.265264,0.031838,0,0,0.233426,0.000000
103,Grok,Grok,29.983105,0.089403,0.033344,0,0,0.056059,0.000000
103,KAIROS,KAIROS,34.050163,1.000000,0.029123,0,1,0.970877,0.000000
103,Echo,Echo,33.848516,0.265267,0.029383,0,0,0.235884,0.000000
104,Grok,Grok,30.904194,0.050815,0.032875,0,0,0.017940,0.000000
104,KAIROS,KAIROS,30.043925,1.000000,0.033333,0,1,0.966667,0.000000
104,Echo,Echo,25.250197,0.031535,0.039208,0,0,-0.007673,0.000000
105,Grok,Grok,29.547248,0.050807,0.034672,0,0,0.016136,0.000000
105,KAIROS,KAIROS,25.560725,1.000000,0.039515,0,1,0.960485,0.000000
105,Echo,Echo,29.189764,-0.005865,0.034410,0,0,-0.040275,0.000000
106,Grok,Grok,28.600156,0.080470,0.034550,0,0,0.045920,0.000000
106,KAIROS,KAIROS,29.090077,1.000000,0.034161,0,1,0.965839,0.000000
106,Echo,Echo,29.498915,0.044397,0.033364,0,0,0.011033,0.000000
107,Grok,Grok,30.204765,0.085462,0.033664,0,0,0.051797,0.000000
107,KAIROS,KAIROS,30.499493,1.000000,0.032889,0,1,0.967111,0.000000
107,Echo,Echo,30.612230,0.265264,0.032792,0,0,0.232472,0.000000
108,Grok,Grok,27.981752,0.078224,0.035005,0,0,0.043219,0.000000
108,KAIROS,KAIROS,30.803029,1.000000,0.032406,0,1,0.967594,0.000000
108,Echo,Echo,29.058858,0.030625,0.033333,0,0,-0.002709,0.000000
109,Grok,Grok,30.081738,0.054541,0.032722,0,0,0.021819,0.000000
109,KAIROS,KAIROS,28.021765,1.000000,0.035720,0,1,0.964280,0.000000
109,Echo,Echo,29.178740,0.030642,0.033918,0,0,-0.003276,0.000000
110,Grok,Grok,31.098234,0.085253,0.033422,0,0,0.051831,0.000000
110,KAIROS,KAIROS,30.982304,1.000000,0.032406,0,1,0.967594,0.000000
110,Echo,Echo,29.316251,0.265264,0.033333,0,0,0.231931,0.000000
111,Grok,Grok,30.651131,0.080476,0.032342,0,0,0.048134,0.000000
111,KAIROS,KAIROS,27.323389,1.000000,0.036821,0,1,0.963179,0.000000
111,Echo,Echo,28.953836,0.030674,0.034356,0,0,-0.003681,0.000000
112,Grok,Grok,29.210450,0.089627,0.034783,0,0,0.054844,0.000000
112,KAIROS,KAIROS,31.112786,1.000000,0.033371,0,1,0.966629,0.000000
112,Echo,Echo,27.664062,-0.006452,0.034750,0,0,-0.041202,0.000000
113,Grok,Grok,27.526859,0.078223,0.035466,0,0,0.042758,0.000000
113,KAIROS,KAIROS,32.152926,1.000000,0.031513,0,1,0.968487,0.000000
